epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.57102,1.8801,3.33691,1.35021,0.01333,0.25397,0.0088,0.00396,1.53059,3.41001,1.08535,2e-05,2e-05,2e-05
2,4.75807,1.86324,3.36565,1.33075,0.01333,0.25397,0.0087,0.00397,1.52634,3.39917,1.08923,5.901e-05,5.901e-05,5.901e-05
3,5.71657,1.81552,3.42455,1.34119,0.01333,0.25397,0.00932,0.00424,1.5199,3.39542,1.08685,9.67e-05,9.67e-05,9.67e-05
4,6.849,1.73638,2.65479,1.26543,0.49036,0.68731,0.57538,0.3343,1.25289,4.24029,1.03899,0.00013307,0.00013307,0.00013307
5,8.10693,1.52464,1.63188,1.17698,0.41005,0.65079,0.46777,0.26954,1.34639,3.04258,1.0161,0.00016812,0.00016812,0.00016812
6,9.36775,1.40801,1.37234,1.08491,0.72751,0.7619,0.7807,0.4421,1.23559,3.10315,0.99133,0.00020185,0.00020185,0.00020185
7,11.1179,1.33914,1.10187,1.04174,0.54472,0.68254,0.72508,0.43273,1.32427,3.07232,0.9939,0.00023426,0.00023426,0.00023426
8,12.4727,1.24341,0.99497,1.02514,0.65664,0.7619,0.8085,0.5084,1.2674,2.1273,0.98392,0.00026535,0.00026535,0.00026535
9,13.7095,1.28478,0.98397,1.03872,0.69886,0.80952,0.83864,0.54756,1.22894,1.65619,0.97948,0.00029512,0.00029512,0.00029512
10,14.9216,1.25727,0.88799,1.04413,0.70227,0.84127,0.85572,0.56355,1.20867,1.09058,0.98012,0.00032357,0.00032357,0.00032357
11,16.1392,1.30257,0.93832,1.0188,0.6436,0.92063,0.85369,0.56139,1.20779,1.10489,0.97633,0.0003507,0.0003507,0.0003507
12,17.2719,1.27809,0.84058,0.99019,0.78912,0.77223,0.85342,0.57222,1.21351,1.64109,0.97614,0.00037651,0.00037651,0.00037651
13,18.5084,1.27994,0.98532,1.0369,0.73537,0.7619,0.86331,0.57429,1.20508,1.75545,0.98084,0.000401,0.000401,0.000401
14,19.6795,1.18157,0.76579,0.97217,0.79491,0.79987,0.88262,0.5712,1.21153,1.29099,0.99262,0.00042417,0.00042417,0.00042417
15,20.9161,1.25055,0.78979,1.01907,0.76916,0.84629,0.90048,0.57561,1.22423,1.18601,0.9935,0.00044602,0.00044602,0.00044602
16,22.3325,1.18574,0.75729,1.01975,0.84109,0.8254,0.89937,0.55871,1.25825,1.0251,1.00913,0.00046655,0.00046655,0.00046655
17,23.9341,1.21323,0.77891,1.00528,0.92286,0.79365,0.92481,0.59841,1.20306,0.92797,0.9836,0.00048576,0.00048576,0.00048576
18,25.3698,1.21068,0.72726,0.99883,0.78571,0.85714,0.87435,0.56113,1.23995,0.87439,1.00793,0.00050365,0.00050365,0.00050365
19,26.594,1.25206,0.78931,1.05876,0.86336,0.70211,0.79064,0.44164,1.32648,1.12255,1.08292,0.00052022,0.00052022,0.00052022
20,27.6995,1.26961,0.77088,1.01314,0.7674,0.83794,0.83056,0.48431,1.27921,0.95291,1.04704,0.00053547,0.00053547,0.00053547
21,28.7959,1.24786,0.74423,1.01504,0.88454,0.85714,0.92946,0.5881,1.2012,0.94979,0.99223,0.0005494,0.0005494,0.0005494
22,29.9382,1.21,0.73022,0.98111,0.79717,0.84127,0.86569,0.54506,1.28974,1.04433,1.04608,0.00056201,0.00056201,0.00056201
23,31.0314,1.21723,0.76346,1.04675,0.81558,0.85714,0.87608,0.54088,1.2812,0.85414,1.04344,0.0005733,0.0005733,0.0005733
24,32.1312,1.23861,0.70716,1.00229,0.81492,0.83872,0.88451,0.55103,1.2714,0.79396,1.03006,0.00058327,0.00058327,0.00058327
25,33.2397,1.17485,0.71126,1.02894,0.85886,0.86937,0.92031,0.57761,1.23074,0.75035,1.00019,0.00059192,0.00059192,0.00059192
26,34.3539,1.13267,0.65185,0.99318,0.84291,0.85175,0.91841,0.58943,1.22451,0.76554,1.01036,0.00059925,0.00059925,0.00059925
27,36.0454,1.20952,0.67097,1.00251,0.87695,0.79186,0.89247,0.57765,1.23868,0.77434,1.02651,0.00060526,0.00060526,0.00060526
28,37.5798,1.14273,0.6237,0.99475,0.87695,0.79186,0.89247,0.57765,1.23868,0.77434,1.02651,0.00060995,0.00060995,0.00060995
29,38.6856,1.18533,0.64633,0.98098,0.8691,0.8254,0.8911,0.5773,1.22627,0.73746,1.01131,0.00061332,0.00061332,0.00061332
30,39.8659,1.11526,0.61776,0.99653,0.86412,0.80757,0.87534,0.5762,1.22711,0.69956,1.00917,0.00061537,0.00061537,0.00061537
31,41.0283,1.10655,0.61753,0.98368,0.86412,0.80757,0.87534,0.5762,1.22711,0.69956,1.00917,0.0006161,0.0006161,0.0006161
32,42.1189,1.23138,0.70116,1.00384,0.88481,0.80952,0.88434,0.56967,1.203,0.71661,0.99904,0.00061551,0.00061551,0.00061551
33,43.2691,1.09487,0.59925,0.96285,0.79814,0.87872,0.8833,0.56484,1.22352,0.7755,0.99976,0.0006136,0.0006136,0.0006136
34,44.3227,1.09364,0.6298,0.97476,0.79814,0.87872,0.8833,0.56484,1.22352,0.7755,0.99976,0.00061037,0.00061037,0.00061037
35,45.446,1.14619,0.66246,0.96768,0.83696,0.89639,0.90275,0.55792,1.27699,0.74135,1.01881,0.00060582,0.00060582,0.00060582
36,46.5417,1.12896,0.61376,0.95412,0.849,0.89251,0.88929,0.56881,1.27926,0.66846,1.01573,0.00059995,0.00059995,0.00059995
37,47.9809,1.04575,0.5575,0.95482,0.849,0.89251,0.88929,0.56881,1.27926,0.66846,1.01573,0.00059276,0.00059276,0.00059276
38,49.6458,1.07776,0.58823,0.9459,0.83881,0.90868,0.91061,0.60011,1.23248,0.65708,1.00214,0.00058425,0.00058425,0.00058425
39,51.078,1.05266,0.58659,0.97577,0.94435,0.80804,0.91158,0.57606,1.27515,0.67653,1.02598,0.00057442,0.00057442,0.00057442
40,52.1924,1.00955,0.55516,0.95323,0.94435,0.80804,0.91158,0.57606,1.27515,0.67653,1.02598,0.00056327,0.00056327,0.00056327
41,53.2755,1.03579,0.55265,0.95812,0.90404,0.88889,0.94989,0.59469,1.25947,0.63421,1.02431,0.0005508,0.0005508,0.0005508
42,54.3683,1.07637,0.58906,0.9706,0.92455,0.90476,0.95614,0.59823,1.23469,0.63286,1.02347,0.00053701,0.00053701,0.00053701
43,55.5465,1.06034,0.55693,0.94405,0.92455,0.90476,0.95614,0.59823,1.23469,0.63286,1.02347,0.0005219,0.0005219,0.0005219
44,56.816,1.0243,0.56433,0.98335,0.91402,0.88889,0.95789,0.62426,1.20282,0.62776,1.0166,0.00050547,0.00050547,0.00050547
45,58.0888,1.05477,0.56365,0.95055,0.91402,0.88889,0.95789,0.62426,1.20282,0.62776,1.0166,0.00048772,0.00048772,0.00048772
46,59.2348,0.9844,0.54088,0.94536,0.89434,0.85714,0.92105,0.62391,1.19157,0.59203,1.00516,0.00046865,0.00046865,0.00046865
47,60.4042,0.95801,0.50615,0.92154,0.89434,0.85714,0.92105,0.62391,1.19157,0.59203,1.00516,0.00044826,0.00044826,0.00044826
48,62.0103,0.99021,0.53339,0.9352,0.91223,0.87302,0.9429,0.6123,1.20932,0.59001,1.00673,0.00042655,0.00042655,0.00042655
49,63.4423,0.99636,0.52487,0.92425,0.91223,0.87302,0.9429,0.6123,1.20932,0.59001,1.00673,0.00040352,0.00040352,0.00040352
50,64.5666,1.0223,0.54428,0.9263,0.92467,0.80952,0.91593,0.59516,1.22054,0.59522,1.01229,0.00037917,0.00037917,0.00037917
51,67.0504,0.99709,0.60904,0.99012,0.92467,0.80952,0.91593,0.59516,1.22054,0.59522,1.01229,0.00035,0.00035,0.00035
52,68.9202,1.00602,0.60143,0.97848,0.92551,0.78895,0.89469,0.56664,1.30929,0.67558,1.07943,0.000317,0.000317,0.000317
53,69.9682,1.02514,0.58555,0.98057,0.92551,0.78895,0.89469,0.56664,1.30929,0.67558,1.07943,0.000284,0.000284,0.000284
54,71.0335,0.97284,0.54468,0.9389,0.94174,0.77778,0.8702,0.5356,1.37399,0.73551,1.13338,0.000251,0.000251,0.000251
55,72.1274,0.96375,0.54193,0.97842,0.94174,0.77778,0.8702,0.5356,1.37399,0.73551,1.13338,0.000218,0.000218,0.000218
56,73.3082,0.97686,0.54213,0.95356,0.878,0.79972,0.8683,0.53901,1.34388,0.73256,1.10645,0.000185,0.000185,0.000185
57,74.9393,0.94031,0.51756,0.96051,0.878,0.79972,0.8683,0.53901,1.34388,0.73256,1.10645,0.000152,0.000152,0.000152
58,76.2521,0.92266,0.5236,0.96122,0.89865,0.8254,0.8975,0.56487,1.30505,0.68671,1.07882,0.000119,0.000119,0.000119
59,77.3329,0.88266,0.50439,0.9299,0.89865,0.8254,0.8975,0.56487,1.30505,0.68671,1.07882,8.6e-05,8.6e-05,8.6e-05
60,78.4423,0.89736,0.50616,0.95303,0.9133,0.84127,0.92853,0.58185,1.27869,0.67323,1.05484,5.3e-05,5.3e-05,5.3e-05
